                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3601,                 5.0271,                 4.2509,                0.00087,                 0.0754,                0.00522,                0.00123,                 3.8018,                 4.8199,                 4.1597,              7.337e-05,              7.337e-05,              7.337e-05
                      2,                 4.2051,                 4.9472,                 4.2228,                0.00065,                0.06651,                0.00239,                0.00075,                 3.8082,                 4.8199,                 4.1612,             0.00010278,             0.00010278,             0.00010278
                      3,                 4.2484,                 4.9329,                 4.1913,                0.00055,                 0.0554,                0.00343,                0.00117,                 3.8207,                 4.8205,                 4.1635,             7.9373e-05,             7.9373e-05,             7.9373e-05
