                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4229,                 5.0386,                 4.2643,                0.00091,                 0.0754,                0.00323,                0.00083,                 3.8027,                 4.8201,                 4.1601,              7.337e-05,              7.337e-05,              7.337e-05
                      2,                  4.346,                 4.9891,                 4.2106,                0.00067,                0.06651,                0.00348,                0.00089,                 3.8114,                 4.8207,                 4.1624,             0.00013822,             0.00013822,             0.00013822
                      3,                 4.3025,                 4.9013,                 4.1691,                0.00109,                0.08079,                0.00663,                0.00162,                 3.8319,                 4.8213,                 4.1676,             0.00018723,             0.00018723,             0.00018723
                      4,                 4.3134,                 4.8915,                 4.1105,                0.00216,                0.08079,                0.00339,                0.00084,                 3.8734,                 4.8337,                 4.1779,             0.00022038,             0.00022038,             0.00022038
                      5,                 4.2247,                  4.831,                 4.0421,                0.00154,                0.07651,                 0.0029,                0.00115,                 3.9149,                 4.8766,                 4.1833,             0.00023769,             0.00023769,             0.00023769
                      6,                 4.1132,                 4.8008,                   3.99,                0.00441,                0.10508,                0.00382,                0.00163,                 3.9532,                  4.915,                 4.1877,             0.00023915,             0.00023915,             0.00023915
                      7,                 4.0904,                 4.6776,                 3.9441,                0.00302,                0.09079,                0.00232,                0.00137,                 3.9364,                 4.9023,                 4.1848,             0.00022477,             0.00022477,             0.00022477
                      8,                 3.8858,                 4.5954,                 3.8743,                0.00019,                0.03651,                0.00018,                  4e-05,                 3.9735,                 4.9068,                 4.1918,             0.00019453,             0.00019453,             0.00019453
                      9,                 3.7974,                 4.5875,                  3.872,                0.00021,                0.03968,                0.00014,                  2e-05,                 3.7719,                 4.8754,                 4.1386,             0.00013874,             0.00013874,             0.00013874
                     10,                 3.7351,                 4.5435,                 3.8024,                  7e-05,                0.01111,                  4e-05,                  1e-05,                 3.5518,                 4.8644,                 4.0804,             7.2703e-05,             7.2703e-05,             7.2703e-05
